diseases,diseases_abbr,Distance,#White,Gap_W_mean,CI_W,#Black,Gap_B_mean,CI_B,#Hisp,Gap_H_mean,CI_H,#Other,Gap_Ot_mean,CI_Ot,#Asian,Gap_As_mean,CI_As,#American,Gap_Am_mean,CI_Am
Support Devices,Sup. Devices,0.03781618701842416,12324.0,0.0067957303173626195,0.001772954122221386,12324.0,0.02107173778288694,0.005203549402142889,711.0,-0.01551304389014566,0.00645201232546112,1809.0,-0.0074324902588646605,0.0020686100059973053,1505.0,0.0223031431282785,0.0029424725308648484,228.0,-0.014950455985785621,0.00555259286846122
Pleural Effusion,Effusion,0.09400318190924181,9826.0,-0.02385796494835606,0.004331306679103716,9826.0,0.04142352191708358,0.004246106574525716,515.0,0.019623189666209122,0.005986777500291685,1369.0,-0.016378427274793682,0.00244392473310432,1249.0,-0.05257965999215823,0.0064863801303414025,152.0,0.03243361378475794,0.011039370283759415
Enlarged Cardiomediastinum,Enlarged Card.,0.11672133962517833,8618.0,-0.02339520746799528,0.0016535576592870483,8618.0,0.0423321110885039,0.005606421052394633,392.0,0.02339520746799528,0.0016535576592870483,1733.0,-0.06391328199818927,0.003090152642386683,1381.0,-0.07438922853667443,0.0016775543653950265,188.0,0.03641083925262402,0.004961349624132959
Edema,Edema,0.1437763032541658,7224.0,-0.013047342192690981,0.006407254304215431,7224.0,0.08535585283098884,0.004825970239706988,400.0,0.013047342192690981,0.0064072543042154465,1273.0,-0.05842045042317694,0.01251329612972322,930.0,-0.05607631372128742,0.02081310736139492,130.0,0.03085503450038332,0.009189037998985208
Cardiomegaly,Cardiomegaly,0.20308627068132767,9772.0,0.0063303315595579,0.0056349555572325115,9772.0,0.09327557977049131,0.009415768208751825,592.0,0.11703839430916792,0.009836590816406704,1653.0,-0.07256834037469916,0.01057377147977085,1315.0,-0.08604787637215974,0.011733741429291487,175.0,-0.00633033155955792,0.005634955557232503
Fracture,Fracture,0.22329625610417786,3872.0,-0.0278083445306253,0.007897688453453554,3872.0,0.037370616547300575,0.00807610309496961,97.0,0.0828199037440615,0.019484477560922545,754.0,-0.0457206634029755,0.006324996718330039,760.0,-0.14047635236011638,0.012393630577322954,76.0,0.03347101606093616,0.017436047750632396
Lung Opacity,Air. Opacity,0.24959614344271425,11959.0,-0.00536804621176216,0.0031681746369730166,11959.0,0.12548573160458992,0.008823456824385921,600.0,0.11001451085822682,0.01090802646368211,2025.0,-0.10593610642572368,0.005718584815656165,1617.0,-0.12411041183812432,0.006404034030226939,198.0,0.00536804621176222,0.0031681746369730274
Atelectasis,Atelectasis,0.25315534214727736,10276.0,-0.00724221366819002,0.004132942351638391,10276.0,0.15216290698844184,0.008130424208657531,526.0,0.07542040453332638,0.003481890966173524,1628.0,-0.047172807413497664,0.005276401958290138,1373.0,-0.10099243515883553,0.0043017392386585,162.0,0.007242213668190001,0.004132942351638364
Consolidation,Consolidation,0.25430306905370836,6772.0,-0.0182728339309819,0.007767926961878392,6772.0,0.16846911388181116,0.007070548184089874,278.0,0.04028037075866262,0.012024184808845878,1218.0,-0.08562245377973612,0.010421897157150759,1104.0,-0.08583395517189721,0.008800833387002636,105.0,0.01858115869973834,0.008209321813012212
Lung Lesion,Lung Lesion,0.26544715447154466,2194.0,0.03602589622904766,0.0059485020793856435,2194.0,0.09965059659030226,0.009023275899377521,96.0,0.14594689288659857,0.010486792713826807,392.0,-0.036025896229047616,0.005948502079385645,375.0,-0.054719773780068016,0.011072849688931444,41.0,-0.11950026158494609,0.015546818368496708
Pneumothorax,Pneumothorax,0.28552036199095016,2252.0,0.001924215512137377,0.003581879399352655,2252.0,0.05328411782119593,0.008992983265825953,78.0,0.16987065628273446,0.00410337139002122,275.0,-0.0220454276333494,0.007837678457306178,276.0,-0.0019242155121373256,0.003581879399352652,17.0,-0.11564970570821571,0.06276095826568928
Pleural Other,Pleural Other,0.29103805610148287,1608.0,-0.00463487373803398,0.014546851052531914,1608.0,0.1442808922595642,0.02679043287345949,52.0,0.12839229809510794,0.028644069904891968,362.0,-0.014850370838168639,0.012958463004060946,386.0,-0.14675716384191867,0.019937248109332024,41.0,-0.025172429859863864,0.0575976066517516
Pneumonia,Pneumonia,0.37636003956478725,4068.0,0.0364933123206853,0.007515273273990439,4068.0,0.17635392885161177,0.01617967912945625,162.0,0.19136056895785347,0.015848745456022165,703.0,-0.1167949549871441,0.006282304848374662,674.0,-0.1849994706069338,0.010548901516524599,73.0,-0.0364933123206853,0.007515273273990439
