,diseases,diseases_abbr,Distance,%M,Gap_M_mean,CI_M,%F,Gap_F_mean,CI_F
6,Fracture,Fracture,0.00742361542504896,0.5800068236096895,0.00371180771252448,0.004315220458833603,0.4199931763903105,-0.00371180771252448,0.004315220458833603
8,Pleural Effusion,Effusion,0.02099109603263068,0.587992153565924,0.01049554801631534,0.006633222922767215,0.4120078464340759,-0.01049554801631534,0.006633222922767215
10,Pneumonia,Pneumonia,0.02187776394240936,0.5926884503396959,-0.01093888197120468,0.007882375254808989,0.4073115496603041,0.01093888197120468,0.007882375254808989
3,Consolidation,Consolidation,0.02343651739788628,0.5908240622230974,-0.01171825869894314,0.0039518842124048595,0.40917593777690253,0.01171825869894314,0.0039518842124048595
12,Support Devices,Sup. Devices,0.024626999264760564,0.602017751805502,0.012313499632380282,0.0020426179665306364,0.397982248194498,-0.012313499632380282,0.0020426179665306364
11,Pneumothorax,Pneumothorax,0.028360236061099397,0.5899676375404531,-0.014180118030549698,0.005093010029021401,0.4100323624595469,0.014180118030549698,0.005093010029021401
4,Edema,Edema,0.04025834367608904,0.5833715701569239,0.02012917183804452,0.0019939950994030124,0.41662842984307613,-0.02012917183804452,0.0019939950994030124
9,Pleural Other,Pleural Other,0.044211469797375634,0.5851966075558982,0.022105734898687817,0.008432932825874788,0.4148033924441017,-0.022105734898687817,0.008432932825874788
5,Enlarged Cardiomediastinum,Enlarged Card.,0.047987762884544205,0.5906406179009541,0.023993881442272103,0.0033384107131681127,0.4093593820990459,-0.023993881442272103,0.0033384107131681127
0,Lung Opacity,Air. Opacity,0.05623955896507151,0.5867074527252503,0.028119779482535755,0.003342485307987768,0.4132925472747496,-0.028119779482535755,0.003342485307987768
2,Cardiomegaly,Cardiomegaly,0.056596882146369244,0.5907601791803169,0.028298441073184622,0.003789064486533527,0.4092398208196831,-0.028298441073184622,0.003789064486533527
1,Atelectasis,Atelectasis,0.07165154841404964,0.5964542279048309,0.03582577420702482,0.002659444431552942,0.40354577209516906,-0.03582577420702482,0.002659444431552942
7,Lung Lesion,Lung Lesion,0.11459694700820763,0.579167913798264,0.05729847350410382,0.0049172912488070104,0.420832086201736,-0.05729847350410382,0.0049172912488070104
