diseases,#60-80,FNR_60-80,Gap_60-80,#40-60,FNR_40-60,Gap_40-60,#20-40,FNR_20-40,Gap_20-40,#80-,FNR_80-,Gap_80-,#0-20,FNR_0-20,Gap_0-20
Enlarged Cardiomediastinum,5131,0.09,-0.014094315110906225,3441,0.104,0.0,1194,0.126,0.022135525053339947,2600,0.074,-0.030099367357431878,79,0.139,0.034910369740912814
Cardiomegaly,4359,0.106,0.0,2857,0.126,0.019439260561330426,938,0.142,0.035574022523309115,2294,0.085,-0.020776743264144193,68,0.103,-0.0032758457822220505
Lung Opacity,5407,0.076,-0.01971931950892028,3694,0.096,0.0,1353,0.119,0.02289303963079499,2535,0.069,-0.026673778791558134,87,0.138,0.04182924780165413
Lung Lesion,1104,0.396,-0.04262820512820514,780,0.438,0.0,429,0.378,-0.060839160839160855,371,0.45,0.011673232427949432,23,0.609,0.17023411371237462
Edema,3378,0.157,-0.01677546648111186,2166,0.175,0.0005461632921152648,776,0.174,0.0,1740,0.148,-0.025693210095982938,51,0.294,0.12014857489387509
Consolidation,3859,0.116,-0.0033807916533178523,2539,0.12,0.0,939,0.147,0.027232678207188304,1755,0.115,-0.005202263492929113,55,0.145,0.02572236743170181
Pneumonia,1864,0.369,0.0,1340,0.339,-0.0297562616104029,596,0.32,-0.0480924331019385,802,0.425,0.05662480065929598,28,0.536,0.16715205395462907
Atelectasis,4480,0.126,-0.026378286809889018,2999,0.153,0.0,1021,0.167,0.014765287417059347,2076,0.127,-0.026031638034772042,70,0.214,0.06156814176153955
Pneumothorax,892,0.42,0.0,628,0.422,0.0015709348490474673,359,0.418,-0.0025762893938068854,226,0.54,0.11941942140561129,29,0.31,-0.11005875985773927
Pleural Effusion,3771,0.116,-0.018178795758676786,2479,0.134,0.0,793,0.142,0.008168489205924973,1770,0.113,-0.021334007926469348,59,0.153,0.01821401467240072
Pleural Other,945,0.375,-0.0845407942684207,709,0.378,-0.08114678974606637,257,0.459,0.0,460,0.461,0.0017255963457959989,15,0.533,0.07418936446173802
Fracture,2191,0.282,-0.029801421841276765,1475,0.312,0.0,612,0.327,0.014932978841253997,1126,0.299,-0.012574886353373282,39,0.41,0.0983920034767492
Support Devices,4613,0.063,-0.003584073993785672,3630,0.067,0.0,1428,0.075,0.00826330532212885,1747,0.112,0.04552566304140432,107,0.019,-0.047975077881619935
No Finding,1022,0.217,0.057838101610331066,1167,0.159,0.0,640,0.119,-0.040633033419023135,350,0.36,0.20061696658097686,41,0.146,-0.013041570004388991
