diseases,Auc_White,Gap_White,Auc_Black,Gap_Black,Auc_Hisp,Gap_Hisp,Auc_Other,Gap_Other,Auc_Asian,Gap_Asian,Auc_American,Gap_American
Enlarged Cardiomediastinum,0.735,-0.03700000000000003,0.796,0.02400000000000002,0.772,0.0,0.662,-0.10999999999999999,0.843,0.07099999999999995,,
Cardiomegaly,0.8,-0.0129999999999999,0.848,0.03500000000000003,0.819,0.006000000000000005,0.827,0.014000000000000012,0.807,-0.005999999999999894,0.734,-0.07899999999999996
Lung Opacity,0.764,-0.013500000000000068,0.795,0.01749999999999996,0.808,0.03049999999999997,0.766,-0.011500000000000066,0.789,0.011499999999999955,0.664,-0.11350000000000005
Lung Lesion,0.765,-0.02300000000000002,0.788,0.0,0.892,0.10399999999999998,0.83,0.041999999999999926,0.745,-0.04300000000000004,,
Edema,0.88,-0.0034999999999999476,0.91,0.02650000000000008,0.88,-0.0034999999999999476,0.933,0.0495000000000001,0.887,0.0035000000000000586,0.873,-0.010499999999999954
Consolidation,0.822,-0.014000000000000012,0.862,0.026000000000000023,0.825,-0.01100000000000001,0.836,0.0,0.898,0.062000000000000055,,
Pneumonia,0.732,-0.01100000000000001,0.754,0.01100000000000001,0.811,0.06800000000000006,0.696,-0.04700000000000004,0.835,0.09199999999999997,0.404,-0.33899999999999997
Atelectasis,0.81,-0.015499999999999958,0.841,0.015499999999999958,0.867,0.04149999999999998,0.776,-0.04949999999999999,0.873,0.04749999999999999,0.759,-0.0665
Pneumothorax,0.881,0.0010000000000000009,0.895,0.015000000000000013,0.869,-0.01100000000000001,0.85,-0.030000000000000027,0.88,0.0,,
Pleural Effusion,0.918,-0.01749999999999996,0.938,0.0024999999999999467,0.914,-0.021499999999999964,0.933,-0.0024999999999999467,0.941,0.005499999999999949,0.938,0.0024999999999999467
Pleural Other,0.827,0.0,0.825,-0.0020000000000000018,0.798,-0.028999999999999915,0.881,0.05400000000000005,0.873,0.04600000000000004,,
Fracture,0.698,0.02199999999999991,0.669,-0.007000000000000006,0.683,0.007000000000000006,0.829,0.1529999999999999,0.605,-0.07100000000000006,0.264,-0.41200000000000003
Support Devices,0.913,-0.02200000000000002,0.935,0.0,0.954,0.018999999999999906,0.92,-0.015000000000000013,0.935,0.0,0.969,0.03399999999999992
