diseases,diseases_abbr,Distance,Gap_W_mean,CI_W,Gap_B_mean,CI_B,Gap_H_mean,CI_H,Gap_Ot_mean,CI_Ot,Gap_As_mean,CI_As,Gap_Am_mean,CI_Am
Pleural Effusion,Effusion,0.02519999999999984,-0.01669999999999996,0.0018229053732983344,0.0024999999999999,0.0015495160534824439,-0.019899999999999963,0.0032709105765826234,-0.00030000000000000003,0.0027474977706996276,0.0038999999999999,0.001292708783910746,0.0052999999999998795,0.005355141828187124
Pneumothorax,Pneumothorax,0.0282,-0.0014,0.0028131292185038354,0.013999999999999999,0.005259231883079506,0.009800000000000001,0.0107960244534736,-0.0142,0.014002687742001535,-0.0064,0.005734465624624495,,
Support Devices,Sup. Devices,0.04499999999999989,-0.018400000000000003,0.004398005911774107,0.00539999999999996,0.005142899571253558,0.024799999999999857,0.006385811146596825,-0.0106,0.006052243881404648,-0.0024000000000000002,0.002388467290962972,0.02659999999999988,0.01884914788524932
Edema,Edema,0.061,-0.00479999999999996,0.0020696337840304443,0.026000000000000002,0.0025366671046867773,-0.006599999999999958,0.002830147699325977,0.04820000000000004,0.0028165411411872226,0.0034000000000000002,0.0018952298013697442,-0.01279999999999996,0.0069060454675595705
Consolidation,Consolidation,0.0678,-0.009600000000000001,0.006247451960599617,0.030199999999999998,0.009729184138456831,-0.004399999999999999,0.0041392675680608036,-0.00879999999999994,0.012918169529774677,0.058199999999999995,0.01478988519225217,,
Pleural Other,Pleural Other,0.08259999999999994,-0.0024000000000000002,0.006278122012194411,-0.019799999999999963,0.02182915628236689,-0.02019999999999994,0.042853686702546336,0.01840000000000002,0.03761259916570506,0.0624,0.018361340256092422,,
Atelectasis,Atelectasis,0.09679999999999986,-0.01429999999999992,0.0012626416752190269,0.01429999999999992,0.0012626416752190574,0.04349999999999992,0.0027544799872208075,-0.051099999999999944,0.005235438472563689,0.04569999999999992,0.003259144673069892,-0.042099999999999936,0.01651932371497093
Cardiomegaly,Cardiomegaly,0.11979999999999988,-0.0121999999999999,0.0010554923021983628,0.03519999999999992,0.002092707337398137,0.0037999999999999397,0.0019988156493283707,0.012799999999999919,0.002471465961732034,-0.00379999999999988,0.0019988156493283503,-0.08459999999999995,0.022553630661159667
Lung Lesion,Lung Lesion,0.12299999999999994,-0.0344,0.0110109443736675,-0.0016,0.003136,0.08859999999999994,0.0386154820764936,0.03939999999999992,0.016038501675655337,-0.0162,0.014554237321137784,,
Lung Opacity,Air. Opacity,0.16519999999999999,-0.0137,0.0019002905041072007,0.01689999999999998,0.0017086883858679369,0.023899999999999984,0.005667078259561953,-0.0183,0.0055748133601045335,0.013499999999999979,0.0022773142075699776,-0.1413,0.04444232469167202
Enlarged Cardiomediastinum,Enlarged Card.,0.17079999999999979,-0.0314,0.005700871512321602,0.0298,0.006179442046010302,0.0,0.0,-0.10139999999999989,0.014870188162898272,0.06939999999999989,0.01772256234295707,,
Pneumonia,Pneumonia,0.3381999999999999,-0.0096,0.0020881130237609263,0.00959999999999996,0.0020881130237608908,0.05179999999999996,0.013047624458115017,-0.039599999999999996,0.015579842617947077,0.08439999999999993,0.007210829078545657,-0.25379999999999997,0.15754870873479096
Fracture,Fracture,0.4549999999999999,0.02709999999999994,0.019510123936049225,-0.0076999999999999595,0.01618217117694649,-0.01409999999999996,0.013182366100211259,0.15749999999999992,0.02223757990429718,0.0309,0.08422836325134185,-0.2975,0.1260658683387379
