diseases,#White,FNR_White,Gap_White,#Black,FNR_Black,Gap_Black,#Hisp,FNR_Hisp,Gap_Hisp,#Other,FNR_Other,Gap_Other,#Asian,FNR_Asian,Gap_Asian,#American,FNR_American,Gap_American
Enlarged Cardiomediastinum,552,0.665,-0.00861431529133394,98,0.673,0.0,51,0.784,0.11084433773509406,33,0.818,0.14471243042671622,16,0.5,-0.173469387755102,17.0,,
Cardiomegaly,3294,0.369,0.03414812542214313,1048,0.279,-0.056078379395777034,299,0.355,0.01981071657297373,235,0.315,-0.01981071657297373,129,0.442,0.10715613152202874,11.0,0.176,-0.1582337453589562
Lung Opacity,3981,0.236,-0.040649985344418854,883,0.309,0.03215051692812543,339,0.28,0.0032132321955331,217,0.24,-0.03739141959952694,168,0.274,-0.0032132321955330445,11.0,0.727,0.4502499712676704
Lung Lesion,481,0.788,0.011625998468103749,152,0.776,0.0,11,0.727,-0.04904306220095689,43,0.581,-0.19492044063647485,25,0.88,0.10368421052631582,2.0,,
Edema,2159,0.374,0.016256686805552034,455,0.345,-0.012472527472527473,200,0.37,0.012472527472527473,167,0.305,-0.052138250970586275,52,0.481,0.12324175824175826,21.0,0.182,-0.1757092907092907
Consolidation,822,0.65,0.001747712552688352,159,0.642,-0.006377889981397877,71,0.648,0.0,39,0.769,0.12134344528710728,34,0.588,-0.05965202982601492,22.0,,
Pneumonia,1237,0.603,-0.009143637519523407,309,0.621,0.009143637519523407,116,0.586,-0.026008689229723325,57,0.754,0.1421703791308333,55,0.545,-0.066761040326902,1.0,1.0,0.3877844142185526
Atelectasis,3353,0.272,-0.029458173628889472,729,0.355,0.053529564968529786,278,0.317,0.014795120425398822,240,0.346,0.044081691168804116,115,0.287,-0.014795120425398767,6.0,0.238,-0.06365640406929113
Pneumothorax,647,0.607,0.009288015138164685,107,0.598,0.0,56,0.589,-0.008845126835780981,44,0.659,0.06096006796941378,27,0.481,-0.11664935964001383,13.0,,
Pleural Effusion,4327,0.169,-0.05323339173950595,708,0.239,0.01629684737137188,231,0.338,0.11525862006195814,262,0.206,-0.01629684737137188,136,0.257,0.03494922357609104,,0.091,-0.1314946266912886
Pleural Other,204,0.789,-0.044117647058823595,12,0.833,0.0,2,1.0,0.16666666666666663,6,1.0,0.16666666666666663,4,0.75,-0.08333333333333337,,,
Fracture,412,0.881,-0.09190501180792443,37,0.946,-0.027027027027027084,20,1.0,0.027027027027026973,55,0.855,-0.11842751842751853,2,1.0,0.027027027027026973,,1.0,0.027027027027026973
Support Devices,4250,0.189,0.02315672719190673,997,0.186,0.01930163249605446,385,0.081,-0.08573555699449512,279,0.147,-0.01930163249605449,171,0.24,0.07351104435736938,,0.0,-0.16625503751397563
No Finding,5136,0.247,0.07219079295857314,2070,0.164,-0.010832142614138951,782,0.15,-0.02546698205716255,355,0.186,0.010832142614138923,267,0.127,-0.0477425263735701,,0.308,0.13260895734870015
